# x y
# Function f(x) = 3x³ - x²
# Refering points: 
 6.09000006 640.51150492
 6.16000006 663.28910644
 6.23000006 686.60021997
 6.30000006 710.45101951
 6.37000006 734.84767906
 6.44000006 759.79637262
 6.51000006 785.30327419
 6.58000006 811.37455777
 6.65000006 838.01639736
 6.72000006 865.23496696
 6.79000006 893.03644056
 6.86000006 921.42699218
 6.93000006 950.41279581

# Lagrange 

-7.00000000 -1078.00000000
-6.93000000 -1046.46257087
-6.86000000 -1015.54616774
-6.79000000 -985.24461662
-6.72000000 -955.55174350
-6.65000000 -926.46137439
-6.58000000 -897.96733528
-6.51000000 -870.06345218
-6.44000000 -842.74355108
-6.37000000 -816.00145799
-6.30000000 -789.83099890
-6.23000000 -764.22599981
-6.16000000 -739.18028673
-6.09000000 -714.68768566
-6.02000000 -690.74202259
-5.95000000 -667.33712352
-5.88000000 -644.46681446
-5.80999999 -622.12492140
-5.73999999 -600.30527035
-5.66999999 -579.00168730
-5.59999999 -558.20799825
-5.52999999 -537.91802921
-5.45999999 -518.12560617
-5.38999999 -498.82455513
-5.31999999 -480.00870210
-5.24999999 -461.67187307
-5.17999999 -443.80789405
-5.10999999 -426.41059103
-5.03999999 -409.47379001
-4.96999999 -392.99131699
-4.89999999 -376.95699798
-4.82999999 -361.36465897
-4.75999999 -346.20812596
-4.68999999 -331.48122496
-4.61999999 -317.17778196
-4.54999999 -303.29162296
-4.47999999 -289.81657397
-4.40999999 -276.74646097
-4.33999999 -264.07510998
-4.26999999 -251.79634699
-4.19999999 -239.90399801
-4.12999999 -228.39188902
-4.05999999 -217.25384604
-3.98999999 -206.48369506
-3.91999999 -196.07526208
-3.84999999 -186.02237311
-3.77999999 -176.31885413
-3.70999999 -166.95853116
-3.63999999 -157.93523019
-3.56999999 -149.24277722
-3.49999999 -140.87499825
-3.42999998 -132.82571929
-3.35999998 -125.08876632
-3.28999998 -117.65796536
-3.21999998 -110.52714239
-3.14999998 -103.69012343
-3.07999998 -97.14073447
-3.00999998 -90.87280151
-2.93999998 -84.88015055
-2.86999998 -79.15660760
-2.79999998 -73.69599864
-2.72999998 -68.49214968
-2.65999998 -63.53888673
-2.58999998 -58.83003577
-2.51999998 -54.35942281
-2.44999998 -50.12087386
-2.37999998 -46.10821490
-2.30999998 -42.31527195
-2.23999998 -38.73587099
-2.16999998 -35.36383804
-2.09999998 -32.19299908
-2.02999998 -29.21718013
-1.95999998 -26.43020717
-1.88999998 -23.82590622
-1.81999998 -21.39810326
-1.74999998 -19.14062431
-1.67999998 -17.04729535
-1.60999998 -15.11194239
-1.53999998 -13.32839143
-1.46999998 -11.69046847
-1.39999998 -10.19199951
-1.32999998 -8.82681055
-1.25999998 -7.58872759
-1.18999998 -6.47157663
-1.11999997 -5.46918366
-1.04999997 -4.57537470
-0.97999997 -3.78397573
-0.90999997 -3.08881276
-0.83999997 -2.48371179
-0.76999997 -1.96249882
-0.69999997 -1.51899984
-0.62999997 -1.14704087
